,eo_code,be_code,head_type,be_description,eo_class_code,eo_class_description,eo_model_name,eo_category_spec,eo_model_id,eo_description,operation_start_date,expected_operation_period_years,operation_finish_date_calc,sap_planned_finish_operation_date,operation_finish_date_sap_upd,sap_system_status,sap_user_status,be_eo_data_row_no,operation_finish_date_iteration_0,operation_finish_date_iteration_1,operation_finish_date_iteration_2,operation_status,conservation_start_date
55,100000008685,1200.0,head,"АО ""Полюс Вернинское""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчики фронтальные,49.0,Погрузчик фронтальный WA500-3 №1310,2014-05-28,12,2026-05-28 00:00:00,2023-12-31,2023-12-31 00:00:00,УСТН,,,,,,,
56,100000008686,1200.0,head,"АО ""Полюс Вернинское""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчики фронтальные,49.0,Погрузчик фронтальный WA500-3 №1311,2014-07-02,12,2026-07-02 00:00:00,2022-01-01,2022-01-01 00:00:00,МТКУ УСТН,КОНС,,,,,,
57,100000008687,1200.0,head,"АО ""Полюс Вернинское""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчики фронтальные,49.0,Погрузчик фронтальный WA500-3 №1312,2014-09-20,12,2026-09-20 00:00:00,2023-12-31,2023-12-31 00:00:00,МТКУ УСТН,,,,,,,
58,100000079663,1200.0,head,"АО ""Полюс Вернинское""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA500-6,Погрузчики фронтальные,50.0,Погрузчик фронтальный WA500-6 №1313,2021-10-30,12,2033-10-30 00:00:00,,2033-10-30 00:00:00,УСТН,,,,,,,
59,100000068226,1200.0,head,"АО ""Полюс Вернинское""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA600-6,Погрузчики фронтальные,52.0,Погрузчик фронтальный WA600-6 №1305,2021-01-01,12,2033-01-01 00:00:00,,2033-01-01 00:00:00,УСТН,,,,,,,
60,100000099881,1200.0,head,"АО ""Полюс Вернинское""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA600-6,Погрузчики фронтальные,52.0,Погрузчик WA600-6 №1306,2022-05-10,12,2034-05-10 00:00:00,2029-05-10,2029-05-10 00:00:00,УСТН,,,,,,,
61,100000009130,1200.0,head,"АО ""Полюс Вернинское""",E02_01,Станки буровые вращ. бур. шарошками,Станки буровые СБШ-250,Буровые станки,76.0,Станок буровой СБШ-250МН-32 №1101,2008-09-25,8,2016-09-25 00:00:00,2024-07-01,2024-07-01 00:00:00,УСТН,,,,,,,
62,100000009131,1200.0,head,"АО ""Полюс Вернинское""",E02_01,Станки буровые вращ. бур. шарошками,Станки буровые СБШ-250,Буровые станки,76.0,Станок буровой СБШ-250МН-32 №1103,2008-12-29,8,2016-12-29 00:00:00,2024-07-01,2024-07-01 00:00:00,УСТН,,,,,,,
63,100000009132,1200.0,head,"АО ""Полюс Вернинское""",E02_03,Станки буровые ударно-вращательного бур.,Станок буровой CM785D,Буровые станки,83.0,Станок буровой CM785D №1104,2008-09-09,8,2016-09-09 00:00:00,2023-09-25,2023-09-25 00:00:00,МТКУ УСТН,,,,,,,
64,100000009133,1200.0,head,"АО ""Полюс Вернинское""",E02_01,Станки буровые вращ. бур. шарошками,Станок буровой DM 45LP,Буровые станки,84.0,Станок буровой DM 45LP №1105,2007-12-30,8,2015-12-30 00:00:00,2023-12-31,2023-12-31 00:00:00,УСТН,,,,,,,
65,100000009134,1200.0,head,"АО ""Полюс Вернинское""",E02_01,Станки буровые вращ. бур. шарошками,Станок буровой DML HP 1450,Буровые станки,138.0,Станок буровой DML HP 1450 №1106,2013-12-10,8,2021-12-10 00:00:00,2023-12-31,2023-12-31 00:00:00,УСТН,,,,,,,
66,100000009135,1200.0,head,"АО ""Полюс Вернинское""",E02_01,Станки буровые вращ. бур. шарошками,Станок буровой DML HP 1450,Буровые станки,138.0,Станок буровой DML HP 1450 №1107,2013-12-10,8,2021-12-10 00:00:00,2023-12-10,2023-12-10 00:00:00,УСТН,,,,,,,
67,100000007096,1200.0,head,"АО ""Полюс Вернинское""",E02_01,Станки буровые вращ. бур. шарошками,Станки буровые ROC D65,Буровые станки,81.0,Станок буровой SmartROC D65-10LF №1108,2019-05-31,8,2027-05-31 00:00:00,2029-05-31,2029-05-31 00:00:00,УСТН,,,,,,,
68,100000021717,1200.0,head,"АО ""Полюс Вернинское""",E02_01,Станки буровые вращ. бур. шарошками,Станки буровые СБШ-250,Буровые станки,76.0,Станок буровой СБШ-250 № 1109,2020-08-01,8,2028-08-01 00:00:00,2035-08-01,2035-08-01 00:00:00,УСТН,,,,,,,
69,100000022742,1200.0,head,"АО ""Полюс Вернинское""",E02_01,Станки буровые вращ. бур. шарошками,Станок буровой DML HP 1450,Буровые станки,138.0,Станок буровой DML HP 1450 №1110,2021-07-02,8,2029-07-02 00:00:00,2028-07-01,2028-07-01 00:00:00,УСТН,,,,,,,
70,100000079022,1200.0,head,"АО ""Полюс Вернинское""",E02_01,Станки буровые вращ. бур. шарошками,Станок буровой FlexiROC D67,Буровые станки,88.0,Станок буровой FlexiROC D6510LF №1111,2022-03-01,8,2030-03-01 00:00:00,,2030-03-01 00:00:00,УСТН,НПВЭ,,,,,,
71,100000079023,1200.0,head,"АО ""Полюс Вернинское""",E02_01,Станки буровые вращ. бур. шарошками,Станок буровой FlexiROC D68,Буровые станки,89.0,Станок буровой FlexiROC D6510LF №1112,2022-03-01,8,2030-03-01 00:00:00,,2030-03-01 00:00:00,УСТН,НПВЭ,,,,,,
72,100000079024,1200.0,head,"АО ""Полюс Вернинское""",E02_01,Станки буровые вращ. бур. шарошками,Станок буровой FlexiROC D65,Буровые станки,86.0,Станок буровой FlexiROC D65 LF №1113,2022-03-01,8,2030-03-01 00:00:00,,2030-03-01 00:00:00,УСТН,НПВЭ,,,,,,
73,100000099446,1200.0,head,"АО ""Полюс Вернинское""",E02_01,Станки буровые вращ. бур. шарошками,Станок буровой БС Барс,Буровые станки,132.0,Станок буровой БС Барс №1120,2022-06-01,8,2030-06-01 00:00:00,2029-05-01,2029-05-01 00:00:00,УСТН,ВЗКП,,,,,,
74,100000009139,1200.0,head,"АО ""Полюс Вернинское""",E05_02,Бульдозеры гусеничные,Бульдозер D9R,Бульдозеры гусеничные,31.0,Бульдозер D9R №1401,2007-05-30,12,2019-05-30 00:00:00,2024-12-31,2024-12-31 00:00:00,УСТН,,,,,,,
75,100000009140,1200.0,head,"АО ""Полюс Вернинское""",E05_02,Бульдозеры гусеничные,Бульдозер D9R,Бульдозеры гусеничные,31.0,Бульдозер D9R №1402,2021-09-10,12,2033-09-10 00:00:00,2023-12-31,2023-12-31 00:00:00,УСТН,,,,,,,
76,100000009141,1200.0,head,"АО ""Полюс Вернинское""",E05_02,Бульдозеры гусеничные,Бульдозер D9R,Бульдозеры гусеничные,31.0,Бульдозер D9R №1403,2012-05-30,12,2024-05-30 00:00:00,2023-12-31,2023-12-31 00:00:00,УСТН,,,,,,,
77,100000009142,1200.0,head,"АО ""Полюс Вернинское""",E05_02,Бульдозеры гусеничные,Бульдозер D9R,Бульдозеры гусеничные,31.0,Бульдозер D9R №1404,2013-06-29,12,2025-06-29 00:00:00,2024-06-29,2024-06-29 00:00:00,УСТН,,,,,,,
78,100000009143,1200.0,head,"АО ""Полюс Вернинское""",E05_02,Бульдозеры гусеничные,Бульдозер D6R,Бульдозеры гусеничные,28.0,Бульдозер D6R №1405,2013-04-29,12,2025-04-29 00:00:00,2024-04-29,2024-04-29 00:00:00,УСТН,,,,,,,
79,100000009144,1200.0,head,"АО ""Полюс Вернинское""",E05_02,Бульдозеры гусеничные,Бульдозер D155A-5,Бульдозеры гусеничные,21.0,Бульдозер D155A-5 №1412,2014-06-01,12,2026-06-01 00:00:00,2024-06-01,2024-06-01 00:00:00,УСТН,,,,,,,
80,100000009145,1200.0,head,"АО ""Полюс Вернинское""",E05_02,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозеры гусеничные,24.0,Бульдозер D375A-5 №1413,2014-07-02,12,2026-07-02 00:00:00,2024-07-02,2024-07-02 00:00:00,УСТН,,,,,,,
81,100000009146,1200.0,head,"АО ""Полюс Вернинское""",E05_02,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозеры гусеничные,24.0,Бульдозер D375A-5 №1414,2014-06-01,12,2026-06-01 00:00:00,2024-06-01,2024-06-01 00:00:00,УСТН,,,,,,,
82,100000021378,1200.0,head,"АО ""Полюс Вернинское""",E05_01,Бульдозеры колесные,Бульдозер колесный WD600-6,Бульдозеры колесные,18.0,Бульдозер WD600-6 №1406,2020-04-01,12,2032-04-01 00:00:00,2027-04-01,2027-04-01 00:00:00,УСТН,,,,,,,
83,100000024786,1200.0,head,"АО ""Полюс Вернинское""",E05_02,Бульдозеры гусеничные,Бульдозер D9R,Бульдозеры гусеничные,31.0,Бульдозер D9R №1407,2023-01-01,12,2035-01-01 00:00:00,,2035-01-01 00:00:00,УСТН,НПВЭ,,,,,,
