,eo_code,be_code,be_description,eo_class_code,eo_class_description,eo_model_id,eo_model_name,eo_category_spec,eo_description,operation_status_rus,sap_user_status,sap_system_status,operation_start_date,expected_operation_period_years,operation_finish_date_calc,sap_planned_finish_operation_date,operation_finish_date_sap_upd,operation_finish_date_update_iteration,operation_finish_date,iteration_name,year,in_operation,add_new
836,100000055513,1100.0,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,73.0,Самосвалы Komatsu HD785-5,Автосамосвалы в классе 85-110тонн,Самосвал карьерный HD785-5 №224,Консервация,КОНС СИНХ,УСТН,2006-03-16,12,2018-03-16 00:00:00,2022-12-31,2022-12-31 00:00:00,2019-06-10,2019-06-10,operation_finish_date_iteration_0,2022,0,0
837,100000065550,1100.0,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,73.0,Самосвалы Komatsu HD785-5,Автосамосвалы в классе 85-110тонн,Самосвал карьерный HD785-5 №227,Консервация,КОНС СИНХ,УСТН,2005-12-14,12,2017-12-14 00:00:00,2022-12-31,2022-12-31 00:00:00,2019-06-10,2019-06-10,operation_finish_date_iteration_0,2022,0,0
838,100000055509,1100.0,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,73.0,Самосвалы Komatsu HD785-5,Автосамосвалы в классе 85-110тонн,Самосвал карьерный HD785-5 №218,Консервация,СИНХ,УСТН,2004-06-24,12,2016-06-24 00:00:00,2022-12-31,2022-12-31 00:00:00,2017-01-20,2017-01-20,operation_finish_date_iteration_0,2022,0,0
839,100000055510,1100.0,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,73.0,Самосвалы Komatsu HD785-5,Автосамосвалы в классе 85-110тонн,Самосвал карьерный HD785-5 №219,Консервация,СИНХ,УСТН,2004-06-24,12,2016-06-24 00:00:00,2022-12-31,2022-12-31 00:00:00,2017-01-20,2017-01-20,operation_finish_date_iteration_0,2022,0,0
840,100000065597,1100.0,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,64.0,Самосвалы CAT 777F,Автосамосвалы в классе 85-110тонн,Самосвал карьерный 777F №141,,КОНС СИНХ,МТКУ УСТН,2010-12-16,12,2022-12-16 00:00:00,2021-07-31,2021-07-31 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,0,0
841,100000065560,1100.0,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,73.0,Самосвалы Komatsu HD785-5,Автосамосвалы в классе 85-110тонн,Самосвал карьерный HD785-5 №235,Консервация,КОНС,УСТН,2006-06-02,12,2018-06-02 00:00:00,2022-12-31,2022-12-31 00:00:00,2021-10-25,2021-10-25,operation_finish_date_iteration_0,2022,0,0
842,100000103058,1100.0,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,144.0,Станок буровой MD6250 ,Буровые станки,Станок буровой MD6250 Caterpillar,,НОВ,ДОСТ,2023-11-30,8,2031-11-30 00:00:00,,2031-11-30 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,0,0
843,100000103059,1100.0,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,144.0,Станок буровой MD6250 ,Буровые станки,Станок буровой MD6250 Caterpillar,,НОВ,ДОСТ,2023-12-31,8,2031-12-31 00:00:00,,2031-12-31 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,0,0
844,100000103083,1100.0,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,144.0,Станок буровой MD6250 ,Буровые станки,Станок буровой MD6250 Caterpillar,,НОВ,ДОСТ,2023-12-31,8,2031-12-31 00:00:00,,2031-12-31 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,0,0
845,100000103165,1100.0,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,144.0,Станок буровой MD6250 ,Буровые станки,Станок буровой MD6250 Caterpillar,,НОВ,ДОСТ,2024-02-29,8,2032-02-29 00:00:00,,2032-02-29 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,0,0
846,100000103166,1100.0,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,144.0,Станок буровой MD6250 ,Буровые станки,Станок буровой MD6250 Caterpillar,,НОВ,ДОСТ,2024-01-31,8,2032-01-31 00:00:00,,2032-01-31 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,0,0
847,100000103167,1100.0,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,144.0,Станок буровой MD6250 ,Буровые станки,Станок буровой MD6250 Caterpillar,,НОВ,ДОСТ,2023-10-31,8,2031-10-31 00:00:00,,2031-10-31 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,0,0
848,100000103168,1100.0,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,144.0,Станок буровой MD6250 ,Буровые станки,Станок буровой MD6250 Caterpillar,,НОВ,ДОСТ,2023-10-31,8,2031-10-31 00:00:00,,2031-10-31 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,0,0
849,100000103169,1100.0,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,144.0,Станок буровой MD6250 ,Буровые станки,Станок буровой MD6250 Caterpillar,,НОВ,ДОСТ,2023-11-30,8,2031-11-30 00:00:00,,2031-11-30 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,0,0
